0.25	0.0227451503233118
0.75	0.0527164855676288
1.25	0.0993600426638224
1.75	0.13027131524565
2.25	0.155269648690087
2.75	0.133244450369975
3.25	0.177674821678555
3.75	0.159116058929405
4.25	0.156989534031065
4.75	0.164589027398173
5.25	0.150363309112726
5.75	0.158056129591361
6.25	0.106792880474635
6.75	0.0789880674621692
7.25	0.0568028798080128
7.75	0.0534364375708286
8.25	0.0397106859542697
8.75	0.0323311779214719
9.25	0.0233917738817412
9.75	0.0101993200453303
10.25	0.0146456902873142
10.75	0.0105526298246784
11.25	0.00507966135590961
11.75	0.00450636624225052
12.25	0.00181987867475502
12.75	0.00101326578228118
13.25	0.000333311112592494
