0	0.630683	0
0.002	0.630685	4.73745e-07
0.004	0.630691	1.88816e-06
0.006	0.6307	4.22287e-06
0.008	0.630714	7.44426e-06
0.01	0.630731	1.15059e-05
0.012	0.630752	1.63494e-05
0.014	0.630776	2.1905e-05
0.016	0.630804	2.80925e-05
0.018	0.630835	3.48231e-05
0.02	0.63087	4.19996e-05
0.022	0.630908	4.95189e-05
0.024	0.630948	5.72725e-05
0.026	0.630992	6.51489e-05
0.028	0.631038	7.30346e-05
0.03	0.631087	8.08161e-05
0.032	0.631139	8.83812e-05
0.034	0.631193	9.56212e-05
0.036	0.631248	0.000102432
0.038	0.631306	0.000108714
0.04	0.631365	0.000114379
0.042	0.631425	0.000119344
0.044	0.631487	0.000123539
0.046	0.631549	0.000126901
0.048	0.631613	0.000129384
0.05	0.631677	0.000130951
0.052	0.631741	0.000131579
0.054	0.631805	0.000131261
0.056	0.631869	0.000129999
0.058	0.631933	0.000127813
0.06	0.631996	0.000124735
0.062	0.632058	0.000120807
0.064	0.632119	0.000116087
0.066	0.632179	0.000110644
0.068	0.632237	0.000104554
0.07	0.632294	9.79067e-05
0.072	0.632349	9.0797e-05
0.074	0.632401	8.33274e-05
0.076	0.632452	7.56057e-05
0.078	0.632499	6.77429e-05
0.08	0.632545	5.98522e-05
0.082	0.632587	5.20475e-05
0.084	0.632627	4.44409e-05
0.086	0.632663	3.71422e-05
0.088	0.632696	3.02563e-05
0.09	0.632726	2.38823e-05
0.092	0.632752	1.81121e-05
0.094	0.632775	1.30287e-05
0.096	0.632794	8.70518e-06
0.098	0.632809	5.20383e-06
0.1	0.632821	2.57496e-06
0.102	0.632829	8.56374e-07
0.104	0.632833	7.27403e-08
0.106	0.632833	2.35275e-07
0.108	0.632829	1.34157e-06
0.11	0.632821	3.37563e-06
0.112	0.63281	6.30811e-06
0.114	0.632795	1.00967e-05
0.116	0.632776	1.46869e-05
0.118	0.632753	2.00125e-05
0.12	0.632727	2.59969e-05
0.122	0.632697	3.25538e-05
0.124	0.632664	3.9589e-05
0.126	0.632628	4.7001e-05
0.128	0.632588	5.46834e-05
0.13	0.632546	6.25254e-05
0.132	0.6325	7.04143e-05
0.134	0.632452	7.82366e-05
0.136	0.632402	8.58797e-05
0.138	0.632348	9.32336e-05
0.14	0.632293	0.000100193
0.142	0.632236	0.000106657
0.144	0.632177	0.000112533
0.146	0.632117	0.000117736
0.148	0.632055	0.000122192
0.15	0.631992	0.000125836
0.152	0.631928	0.000128617
0.154	0.631863	0.000130493
0.156	0.631798	0.000131438
0.158	0.631733	0.000131439
0.16	0.631668	0.000130495
0.162	0.631603	0.000128619
0.164	0.631538	0.000125839
0.166	0.631475	0.000122195
0.168	0.631412	0.000117738
0.17	0.63135	0.000112534
0.172	0.63129	0.000106656
0.174	0.631232	0.00010019
0.176	0.631175	9.32286e-05
0.178	0.631121	8.58715e-05
0.18	0.631069	7.82249e-05
0.182	0.631019	7.03989e-05
0.184	0.630972	6.2506e-05
0.186	0.630928	5.46601e-05
0.188	0.630886	4.69741e-05
0.19	0.630848	3.95587e-05
0.192	0.630813	3.25207e-05
0.194	0.630782	2.59617e-05
0.196	0.630754	1.99761e-05
0.198	0.63073	1.46503e-05
0.2	0.630709	1.0061e-05
0.202	0.630693	6.2744e-06
0.204	0.63068	3.34522e-06
0.206	0.630671	1.31569e-06
0.208	0.630666	2.15141e-07
0.21	0.630665	5.94786e-08
0.212	0.630668	8.51005e-07
0.214	0.630675	2.57836e-06
0.216	0.630686	5.21668e-06
0.218	0.6307	8.72798e-06
0.22	0.630719	1.30617e-05
0.222	0.630742	1.81553e-05
0.224	0.630768	2.39354e-05
